10Polana,R,14 488,-,-,bieszczadzki
10Rabe,E,2 719,620,1,leski
10Sękowiec,Z,25 111,-,-,bieszczadzki
10Skorodne,E,5 046,5 046,142,bieszczadzki
10Stępina,Z,19,-,-,strzyżowski
10Szczawne-Kulaszne,P,2 382,-,-,sanocki
10Szufnarowa,E,30 424,24 658,31,strzyżowski
10Ustianowa,P,11 390,-,-,bieszczadzki
10Wola Jasienicka,R,896,-,-,brzozowski
10Wola Komborska 1,E,363,-,2,krośnieński
"Wola Komborska-Działy10Południe",E,72,72,0,krośnieński
10Wysoczany I,T,4 544,2 514,-,sanocki
10Wyżne-Podwiszówka,T,135,-,-,strzyżowski
10Beskid,E,675,-,0,cieszyński
10Brenna - M,T,559,-,-,cieszyński
10Brenna Beskid-Jatny,P,17 675,-,-,cieszyński
10Brenna-Jarząbek,Z,202,-,-,cieszyński
10Brenna-Leśniczówka,R,35 627,-,-,cieszyński
10Cisowa,Z,500,-,-,cieszyński
10Cisowa,T,822,-,-,cieszyński
10Cisowa 1,E,820,-,0,cieszyński
10Glinka,Z,334,-,-,żywiecki
10Głębiec,Z,1 454,-,-,cieszyński
10Głębiec I,E,4 734,4 104,3,cieszyński
10Jasienica-Jaworze,P,14 054,-,-,bielski
10Kamesznica I,R,1 312,-,-,żywiecki
10Koczy Zamek,Z,52,-,-,cieszyński
10Korbielów 1958,Z,658,-,-,żywiecki
10Korbielów 1959,Z,1 929,-,-,żywiecki
10Kozy,Z,23 806,-,-,"bielski, żywiecki"
10Łodygowice,E,4 498,4 498,56,żywiecki
10Obłaziec-Gahura,E,15 926,15 926,848,cieszyński
10Straconka,R,893,-,-,"bielski,m.Bielsko-Biała"
10Tokarzówka,Z,1 359,-,-,cieszyński
10Tokarzówka I,T,1 024,-,-,cieszyński
11Bukowa Góra,E,40 928,38 527,973,skarżyski
10Bukówki,Z,585,-,-,sandomierski
10Ciosowa Góra,Z,982,-,-,kielecki
11Duża Skała i Wał Małacent.,P,45 262,-,-,kielecki
11Dziewiątle,E,7 825,5 040,230,opatowski
11Jeleniowska Góra,R,46 260,-,-,kielecki
10Kamienna Góra-Suchedniów,P,2 196,-,-,skarżyski
10Kopaniny,Z,174,-,-,kielecki
10Kopiec 2,R,357,-,-,opatowski
10Kopulak,Z,1 153,-,-,skarżyski
10Kopulak 1,E,435,435,1,skarżyski
10Leszczków,Z,2 600,-,-,opatowski
10Międzygórz,Z,424,-,-,opatowski
10Nietulisko,Z,912,-,-,ostrowiecki
10Nietulisko 1,T,51,51,-,ostrowiecki
10Parszów,E,78,-,0,starachowicki
10Piaski,Z,45,-,-,konecki
10Piaski Brzustowskie,P,3 800,-,-,ostrowiecki
10Rogów,Z,204,-,-,konecki
Pomorsko,Z,1 834,-,-,zielonogórski
Pomorsko II,R,373,-,-,zielonogórski
Rańsko,P,874,-,-,międzyrzecki
Rańsko 1,R,20,-,-,międzyrzecki
Santoczno,P,619,-,-,gorzowski
Sława,Z,540,-,-,wschowski
Szumiąca,Z,2 511,-,-,"międzyrzecki,świebodziński"
Tarnawa,P,603,-,-,"słubicki, sulęciński"
Wołogoszcz,Z,85,-,-,"strzelecko-drezdenecki"
Zabór,Z,372,-,-,zielonogórski
Bachorza*,Z,63,-,-,łosicki
Bachorza II*,E,9,-,1,łosicki
Bachorza III*,Z,62,-,-,łosicki
Bachorza IV*,Z,-,-,-,łosicki
Bachorza VI*,E,10,-,1,łosicki
Kolonia Wólka Nosowska I*,Z,4,-,-,łosicki
Kornica - Nowa*,R,8 107,-,-,łosicki
Kornica - Nowa 1*,R,1 145,-,-,łosicki
Kornica Nowa - zarej.*,Z,5,-,-,łosicki
Kornica Nowa II*,Z,51,-,-,łosicki
Kornica Nowa III*,E,46,35,4,łosicki
Kornica-Koszelówka*,R,12 732,-,-,łosicki
